0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:22:55 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:22:58 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:02 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:03 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:04 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:04 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:04 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:12 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:12 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:17 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:20 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:34 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:34 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:34 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:35 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1882
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:39 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1883
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:23:40 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1883
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:24:01 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:24:02 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:25:30 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:25:52 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:25:52 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:25:53 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:25:53 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:25:53 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:27:24 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:28:09 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:28:30 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:28:40 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:28:49 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:29:01 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [01/Dec/2023:23:30:44 +0700] "GET /Bai_22/product.jsp HTTP/1.1" 200 2417
